"file","id","numericId","band","group"
"client/assets/equipment/default/79800.png","79800","79800","79800","default"
"client/assets/equipment/default/79801.png","79801","79801","79800","default"
"client/assets/equipment/default/79802.png","79802","79802","79800","default"
"client/assets/equipment/default/79803.png","79803","79803","79800","default"
"client/assets/equipment/default/79804.png","79804","79804","79800","default"
"client/assets/equipment/default/79805.png","79805","79805","79800","default"
"client/assets/equipment/default/79806.png","79806","79806","79800","default"
"client/assets/equipment/default/79807.png","79807","79807","79800","default"
"client/assets/equipment/default/79808.png","79808","79808","79800","default"
"client/assets/equipment/default/79809.png","79809","79809","79800","default"
"client/assets/equipment/default/79898.png","79898","79898","79890","default"
"client/assets/equipment/default/79900.png","79900","79900","79900","default"
"client/assets/equipment/default/79901.png","79901","79901","79900","default"
"client/assets/equipment/default/79902.png","79902","79902","79900","default"
"client/assets/equipment/default/79903.png","79903","79903","79900","default"
"client/assets/equipment/default/79904.png","79904","79904","79900","default"
"client/assets/equipment/default/79905.png","79905","79905","79900","default"
"client/assets/equipment/default/79906.png","79906","79906","79900","default"
"client/assets/equipment/default/79907.png","79907","79907","79900","default"
"client/assets/equipment/default/79908.png","79908","79908","79900","default"
"client/assets/equipment/default/79909.png","79909","79909","79900","default"
"client/assets/equipment/default/79998.png","79998","79998","79990","default"
"client/assets/equipment/default/89900.png","89900","89900","89900","default"
"client/assets/equipment/default/89901.png","89901","89901","89900","default"
"client/assets/equipment/default/89902.png","89902","89902","89900","default"
"client/assets/equipment/default/89903.png","89903","89903","89900","default"
"client/assets/equipment/default/89904.png","89904","89904","89900","default"
"client/assets/equipment/default/89905.png","89905","89905","89900","default"
"client/assets/equipment/default/89906.png","89906","89906","89900","default"
"client/assets/equipment/default/89907.png","89907","89907","89900","default"
"client/assets/equipment/default/89908.png","89908","89908","89900","default"
"client/assets/equipment/default/89909.png","89909","89909","89900","default"
"client/assets/equipment/armor/70100.png","70100","70100","70100","armor"
"client/assets/equipment/armor/70101.png","70101","70101","70100","armor"
"client/assets/equipment/armor/70102.png","70102","70102","70100","armor"
"client/assets/equipment/armor/70103.png","70103","70103","70100","armor"
"client/assets/equipment/armor/70104.png","70104","70104","70100","armor"
"client/assets/equipment/armor/70105.png","70105","70105","70100","armor"
"client/assets/equipment/armor/70106.png","70106","70106","70100","armor"
"client/assets/equipment/armor/70107.png","70107","70107","70100","armor"
"client/assets/equipment/armor/70108.png","70108","70108","70100","armor"
"client/assets/equipment/armor/70109.png","70109","70109","70100","armor"
"client/assets/equipment/armor/70198.png","70198","70198","70190","armor"
"client/assets/equipment/armor/70300.png","70300","70300","70300","armor"
"client/assets/equipment/armor/70301.png","70301","70301","70300","armor"
"client/assets/equipment/armor/70302.png","70302","70302","70300","armor"
"client/assets/equipment/armor/70303.png","70303","70303","70300","armor"
"client/assets/equipment/armor/70304.png","70304","70304","70300","armor"
"client/assets/equipment/armor/70305.png","70305","70305","70300","armor"
"client/assets/equipment/armor/70306.png","70306","70306","70300","armor"
"client/assets/equipment/armor/70307.png","70307","70307","70300","armor"
"client/assets/equipment/armor/70308.png","70308","70308","70300","armor"
"client/assets/equipment/armor/70309.png","70309","70309","70300","armor"
"client/assets/equipment/armor/70398.png","70398","70398","70390","armor"
"client/assets/equipment/armor/70700.png","70700","70700","70700","armor"
"client/assets/equipment/armor/70701.png","70701","70701","70700","armor"
"client/assets/equipment/armor/70702.png","70702","70702","70700","armor"
"client/assets/equipment/armor/70703.png","70703","70703","70700","armor"
"client/assets/equipment/armor/70704.png","70704","70704","70700","armor"
"client/assets/equipment/armor/70705.png","70705","70705","70700","armor"
"client/assets/equipment/armor/70706.png","70706","70706","70700","armor"
"client/assets/equipment/armor/70707.png","70707","70707","70700","armor"
"client/assets/equipment/armor/70708.png","70708","70708","70700","armor"
"client/assets/equipment/armor/70709.png","70709","70709","70700","armor"
"client/assets/equipment/armor/70798.png","70798","70798","70790","armor"
"client/assets/equipment/armor/71200.png","71200","71200","71200","armor"
"client/assets/equipment/armor/71201.png","71201","71201","71200","armor"
"client/assets/equipment/armor/71202.png","71202","71202","71200","armor"
"client/assets/equipment/armor/71203.png","71203","71203","71200","armor"
"client/assets/equipment/armor/71204.png","71204","71204","71200","armor"
"client/assets/equipment/armor/71205.png","71205","71205","71200","armor"
"client/assets/equipment/armor/71206.png","71206","71206","71200","armor"
"client/assets/equipment/armor/71207.png","71207","71207","71200","armor"
"client/assets/equipment/armor/71208.png","71208","71208","71200","armor"
"client/assets/equipment/armor/71209.png","71209","71209","71200","armor"
"client/assets/equipment/armor/71298.png","71298","71298","71290","armor"
"client/assets/equipment/armor/71300.png","71300","71300","71300","armor"
"client/assets/equipment/armor/71301.png","71301","71301","71300","armor"
