canonical_path,verified_path,rationale
_blackfont.png,root_named_assets/_blackfont.png,Root-level named asset from jar; exact semantic role may still require code review.
_corner.png,root_named_assets/_corner.png,Root-level named asset from jar; exact semantic role may still require code review.
_fontcap.png,root_named_assets/_fontcap.png,Root-level named asset from jar; exact semantic role may still require code review.
_mglogo.png,root_named_assets/_mglogo.png,Root-level named asset from jar; exact semantic role may still require code review.
_partnerLogo.png,root_named_assets/_partnerLogo.png,Root-level named asset from jar; exact semantic role may still require code review.
_sound1.png,root_named_assets/_sound1.png,Root-level named asset from jar; exact semantic role may still require code review.
_sound2.png,root_named_assets/_sound2.png,Root-level named asset from jar; exact semantic role may still require code review.
arrowfocus1.png,root_named_assets/arrowfocus1.png,Root-level named asset from jar; exact semantic role may still require code review.
arrowfocus2.png,root_named_assets/arrowfocus2.png,Root-level named asset from jar; exact semantic role may still require code review.
aura1.png,root_named_assets/aura1.png,Root-level named asset from jar; exact semantic role may still require code review.
aura2.png,root_named_assets/aura2.png,Root-level named asset from jar; exact semantic role may still require code review.
aura3.png,root_named_assets/aura3.png,Root-level named asset from jar; exact semantic role may still require code review.
bardownloadscreen.png,root_named_assets/bardownloadscreen.png,Root-level named asset from jar; exact semantic role may still require code review.
barrier.png,root_named_assets/barrier.png,Root-level named asset from jar; exact semantic role may still require code review.
bklogin.png,root_named_assets/bklogin.png,Root-level named asset from jar; exact semantic role may still require code review.
blacksmith.png,root_named_assets/blacksmith.png,Root-level named asset from jar; exact semantic role may still require code review.
bloodthrowaround.png,root_named_assets/bloodthrowaround.png,Root-level named asset from jar; exact semantic role may still require code review.
broken_heart.png,root_named_assets/broken_heart.png,Root-level named asset from jar; exact semantic role may still require code review.
castingball.png,root_named_assets/castingball.png,Root-level named asset from jar; exact semantic role may still require code review.
chess0.png,root_named_assets/chess0.png,Root-level named asset from jar; exact semantic role may still require code review.
chess1.png,root_named_assets/chess1.png,Root-level named asset from jar; exact semantic role may still require code review.
chess2.png,root_named_assets/chess2.png,Root-level named asset from jar; exact semantic role may still require code review.
chess3.png,root_named_assets/chess3.png,Root-level named asset from jar; exact semantic role may still require code review.
chess4.png,root_named_assets/chess4.png,Root-level named asset from jar; exact semantic role may still require code review.
chess5.png,root_named_assets/chess5.png,Root-level named asset from jar; exact semantic role may still require code review.
chess6.png,root_named_assets/chess6.png,Root-level named asset from jar; exact semantic role may still require code review.
chess7.png,root_named_assets/chess7.png,Root-level named asset from jar; exact semantic role may still require code review.
chess8.png,root_named_assets/chess8.png,Root-level named asset from jar; exact semantic role may still require code review.
chesscrystal.png,root_named_assets/chesscrystal.png,Root-level named asset from jar; exact semantic role may still require code review.
confusing.png,root_named_assets/confusing.png,Root-level named asset from jar; exact semantic role may still require code review.
corner/1.png,window_frames_confirmed/1.png,Loaded directly from /corner/* for frame drawing.
corner/2.png,window_frames_confirmed/2.png,Loaded directly from /corner/* for frame drawing.
corner/3.png,window_frames_confirmed/3.png,Loaded directly from /corner/* for frame drawing.
corner/4.png,window_frames_confirmed/4.png,Loaded directly from /corner/* for frame drawing.
corner/5.png,window_frames_confirmed/5.png,Loaded directly from /corner/* for frame drawing.
corner/cornerskb.png,window_frames_confirmed/cornerskb.png,Loaded directly from /corner/* for frame drawing.
createcs/bk.png,create_character_ui_confirmed/bk.png,Loaded directly by the create-character screen.
createcs/stone.png,create_character_ui_confirmed/stone.png,Loaded directly by the create-character screen.
crystalblue.png,root_named_assets/crystalblue.png,Root-level named asset from jar; exact semantic role may still require code review.
crystalred.png,root_named_assets/crystalred.png,Root-level named asset from jar; exact semantic role may still require code review.
dialog/corner.png,window_frames_confirmed/corner.png,Loaded directly from /dialog/* for frame drawing.
effblacksmith.png,root_named_assets/effblacksmith.png,Root-level named asset from jar; exact semantic role may still require code review.
elementsicon.png,root_named_assets/elementsicon.png,Root-level named asset from jar; exact semantic role may still require code review.
f/ver.png,version_tags_confirmed/ver.png,Loaded directly from /f/* as version label assets.
f/ver_b.png,version_tags_confirmed/ver_b.png,Loaded directly from /f/* as version label assets.
fillbardownloadscreen.png,root_named_assets/fillbardownloadscreen.png,Root-level named asset from jar; exact semantic role may still require code review.
firerage.png,root_named_assets/firerage.png,Root-level named asset from jar; exact semantic role may still require code review.
firerageext.png,root_named_assets/firerageext.png,Root-level named asset from jar; exact semantic role may still require code review.
focusmovechess1.png,root_named_assets/focusmovechess1.png,Root-level named asset from jar; exact semantic role may still require code review.
focustab.png,root_named_assets/focustab.png,Root-level named asset from jar; exact semantic role may still require code review.
gate.png,root_named_assets/gate.png,Root-level named asset from jar; exact semantic role may still require code review.
hiddendragon.png,root_named_assets/hiddendragon.png,Root-level named asset from jar; exact semantic role may still require code review.
hiddenphoenix.png,root_named_assets/hiddenphoenix.png,Root-level named asset from jar; exact semantic role may still require code review.
ice.png,root_named_assets/ice.png,Root-level named asset from jar; exact semantic role may still require code review.
iconbt.png,root_named_assets/iconbt.png,Root-level named asset from jar; exact semantic role may still require code review.
info/btinscrease.png,info_icons_confirmed/btinscrease.png,Loaded directly from /info/* by HUD and status screens.
info/decrease.png,info_icons_confirmed/decrease.png,Loaded directly from /info/* by HUD and status screens.
info/expicon.png,info_icons_confirmed/expicon.png,Loaded directly from /info/* by HUD and status screens.
info/gauge.png,info_icons_confirmed/gauge.png,Loaded directly from /info/* by HUD and status screens.
info/gold.png,info_icons_confirmed/gold.png,Loaded directly from /info/* by HUD and status screens.
info/heart.png,info_icons_confirmed/heart.png,Loaded directly from /info/* by HUD and status screens.
info/hidenobj.png,info_icons_confirmed/hidenobj.png,Loaded directly from /info/* by HUD and status screens.
info/increase.png,info_icons_confirmed/increase.png,Loaded directly from /info/* by HUD and status screens.
info/itemchest.png,info_icons_confirmed/itemchest.png,Loaded directly from /info/* by HUD and status screens.
info/skilltree.png,info_icons_confirmed/skilltree.png,Loaded directly from /info/* by HUD and status screens.
m/arena.png,board_match_ui_confirmed/arena.png,Loaded directly from /m/* by the match UI.
m/arrow.png,board_match_ui_confirmed/arrow.png,Loaded directly from /m/* by the match UI.
m/focusname.png,board_match_ui_confirmed/focusname.png,Loaded directly from /m/* by the match UI.
m/fsw.png,board_match_ui_confirmed/fsw.png,Loaded directly from /m/* by the match UI.
m/hand.png,board_match_ui_confirmed/hand.png,Loaded directly from /m/* by the match UI.
m/l.png,board_match_ui_confirmed/l.png,Loaded directly from /m/* by the match UI.
m/lock.png,board_match_ui_confirmed/lock.png,Loaded directly from /m/* by the match UI.
m/lock2.png,board_match_ui_confirmed/lock2.png,Loaded directly from /m/* by the match UI.
m/m.png,board_match_ui_confirmed/m.png,Loaded directly from /m/* by the match UI.
m/room.png,board_match_ui_confirmed/room.png,Loaded directly from /m/* by the match UI.
magicgate.png,root_named_assets/magicgate.png,Root-level named asset from jar; exact semantic role may still require code review.
mecommands.png,root_named_assets/mecommands.png,Root-level named asset from jar; exact semantic role may still require code review.
miniexplosionfire.png,root_named_assets/miniexplosionfire.png,Root-level named asset from jar; exact semantic role may still require code review.
monster.png,root_named_assets/monster.png,Root-level named asset from jar; exact semantic role may still require code review.
notificationnewsicon.png,root_named_assets/notificationnewsicon.png,Root-level named asset from jar; exact semantic role may still require code review.
notifygtmicon.png,root_named_assets/notifygtmicon.png,Root-level named asset from jar; exact semantic role may still require code review.
offline/1000000.png,offline_by_id_or_name/1000000.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/1000001.png,offline_by_id_or_name/1000001.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/1000002.png,offline_by_id_or_name/1000002.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100001.png,offline_by_id_or_name/100001.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100003.png,offline_by_id_or_name/100003.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100004.png,offline_by_id_or_name/100004.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100005.png,offline_by_id_or_name/100005.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100011.png,offline_by_id_or_name/100011.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100013.png,offline_by_id_or_name/100013.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100014.png,offline_by_id_or_name/100014.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100015.png,offline_by_id_or_name/100015.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100021.png,offline_by_id_or_name/100021.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100023.png,offline_by_id_or_name/100023.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100024.png,offline_by_id_or_name/100024.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100025.png,offline_by_id_or_name/100025.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100031.png,offline_by_id_or_name/100031.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100033.png,offline_by_id_or_name/100033.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100034.png,offline_by_id_or_name/100034.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100035.png,offline_by_id_or_name/100035.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100041.png,offline_by_id_or_name/100041.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100043.png,offline_by_id_or_name/100043.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100044.png,offline_by_id_or_name/100044.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100045.png,offline_by_id_or_name/100045.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100051.png,offline_by_id_or_name/100051.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100053.png,offline_by_id_or_name/100053.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100054.png,offline_by_id_or_name/100054.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100055.png,offline_by_id_or_name/100055.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100061.png,offline_by_id_or_name/100061.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100063.png,offline_by_id_or_name/100063.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100064.png,offline_by_id_or_name/100064.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100065.png,offline_by_id_or_name/100065.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100071.png,offline_by_id_or_name/100071.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100073.png,offline_by_id_or_name/100073.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100074.png,offline_by_id_or_name/100074.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100075.png,offline_by_id_or_name/100075.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100081.png,offline_by_id_or_name/100081.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100083.png,offline_by_id_or_name/100083.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100085.png,offline_by_id_or_name/100085.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100086.png,offline_by_id_or_name/100086.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100091.png,offline_by_id_or_name/100091.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100093.png,offline_by_id_or_name/100093.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100095.png,offline_by_id_or_name/100095.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100096.png,offline_by_id_or_name/100096.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/1001000.png,offline_by_id_or_name/1001000.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/1001001.png,offline_by_id_or_name/1001001.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100101.png,offline_by_id_or_name/100101.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100103.png,offline_by_id_or_name/100103.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100105.png,offline_by_id_or_name/100105.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100106.png,offline_by_id_or_name/100106.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100111.png,offline_by_id_or_name/100111.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100113.png,offline_by_id_or_name/100113.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100114.png,offline_by_id_or_name/100114.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100115.png,offline_by_id_or_name/100115.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100121.png,offline_by_id_or_name/100121.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100123.png,offline_by_id_or_name/100123.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100124.png,offline_by_id_or_name/100124.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100125.png,offline_by_id_or_name/100125.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100131.png,offline_by_id_or_name/100131.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100133.png,offline_by_id_or_name/100133.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100135.png,offline_by_id_or_name/100135.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100136.png,offline_by_id_or_name/100136.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100141.png,offline_by_id_or_name/100141.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100143.png,offline_by_id_or_name/100143.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100144.png,offline_by_id_or_name/100144.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100145.png,offline_by_id_or_name/100145.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100151.png,offline_by_id_or_name/100151.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100153.png,offline_by_id_or_name/100153.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100155.png,offline_by_id_or_name/100155.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100156.png,offline_by_id_or_name/100156.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100161.png,offline_by_id_or_name/100161.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100163.png,offline_by_id_or_name/100163.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100164.png,offline_by_id_or_name/100164.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100165.png,offline_by_id_or_name/100165.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100171.png,offline_by_id_or_name/100171.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100173.png,offline_by_id_or_name/100173.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100175.png,offline_by_id_or_name/100175.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100176.png,offline_by_id_or_name/100176.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100181.png,offline_by_id_or_name/100181.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100183.png,offline_by_id_or_name/100183.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100185.png,offline_by_id_or_name/100185.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100186.png,offline_by_id_or_name/100186.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100191.png,offline_by_id_or_name/100191.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100193.png,offline_by_id_or_name/100193.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100194.png,offline_by_id_or_name/100194.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100195.png,offline_by_id_or_name/100195.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/1002000.png,offline_by_id_or_name/1002000.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
offline/100201.png,offline_by_id_or_name/100201.png,Canonical offline cache asset; jar stores these by numeric or named cache key.
