file,source,target,confidence,note
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100001.png,/offline/100001.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100001.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100003.png,/offline/100003.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100003.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100004.png,/offline/100004.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100004.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100005.png,/offline/100005.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_0/100005.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100011.png,/offline/100011.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100011.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100013.png,/offline/100013.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100013.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100014.png,/offline/100014.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100014.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100015.png,/offline/100015.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_1/100015.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100021.png,/offline/100021.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100021.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100023.png,/offline/100023.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100023.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100024.png,/offline/100024.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100024.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100025.png,/offline/100025.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_2/100025.png,candidate_unknown,Auto-rebuilt
D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_3/100031.png,/offline/100031.png,D:/Twelve/client/assets/monster_legacy/01_confirmed_species_families/species_1000/slot_3/100031.png,candidate_unknown,Auto-rebuilt
