source,target,confidence,note
reference/review_assets/canonical_from_jar_png/offline/100001.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_0/100001.png,confirmed_monster_family,"Species 1000 slot 0. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100003.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_0/100003.png,confirmed_monster_family,"Species 1000 slot 0. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100004.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_0/100004.png,confirmed_monster_family,"Species 1000 slot 0. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100005.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_0/100005.png,confirmed_monster_family,"Species 1000 slot 0. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100011.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_1/100011.png,confirmed_monster_family,"Species 1000 slot 1. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100013.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_1/100013.png,confirmed_monster_family,"Species 1000 slot 1. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100014.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_1/100014.png,confirmed_monster_family,"Species 1000 slot 1. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100015.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_1/100015.png,confirmed_monster_family,"Species 1000 slot 1. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100021.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_2/100021.png,confirmed_monster_family,"Species 1000 slot 2. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
reference/review_assets/canonical_from_jar_png/offline/100023.png,reference/review_assets/monster_organized/01_confirmed_species_families/species_1000/slot_2/100023.png,confirmed_monster_family,"Species 1000 slot 2. 6-digit id schema 100XYZ where X=species_digit, Y=slot 0-9, Z=frame index. Map-to-monster mapping is server_driven."
